City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Severo-Kurilsk,RU,50.6789,156.125,46.92,88,4,10.36,clear sky
107,Pocao De Pedras,BR,-4.6667,-44.85,75.4,86,80,3.11,broken clouds
108,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,0,13.8,clear sky
109,Thayetmyo,MM,19.3167,95.1833,88.09,69,91,3.78,overcast clouds
110,Chimbote,PE,-9.0853,-78.5783,61.7,90,80,5.7,broken clouds
111,Leh,IN,34.1667,77.5833,61.2,23,2,3.09,clear sky
112,Erzin,TR,36.9559,36.2,81.12,26,0,3.56,clear sky
113,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.68,76,100,18.43,overcast clouds
114,Norman Wells,CA,65.282,-126.8329,32.04,93,75,9.22,light snow
115,Solnechnyy,RU,50.7214,136.6319,59.5,67,27,3.62,scattered clouds
116,Carnarvon,AU,-24.8667,113.6333,73.47,43,0,13.8,clear sky
117,Vanimo,PG,-2.6741,141.3028,82.53,78,100,7.25,overcast clouds
118,Khatanga,RU,71.9667,102.5,36.75,74,100,11.41,overcast clouds
119,Qiongshan,CN,20.0058,110.3542,85.98,79,40,15.66,scattered clouds
120,Florestopolis,BR,-22.8633,-51.3872,70.21,62,0,8.5,clear sky
121,Tuy Hoa,VN,13.0833,109.3,83.48,74,43,8.39,scattered clouds
122,Nikolskoye,RU,59.7035,30.7861,49.89,85,100,9.82,overcast clouds
123,Port Elizabeth,ZA,-33.918,25.5701,69.1,68,0,13.8,clear sky
124,San Angelo,US,31.4638,-100.437,66.54,57,1,1.99,clear sky
125,Saint-Philippe,RE,-21.3585,55.7679,79.21,83,47,15.61,light rain
126,Avarua,CK,-21.2078,-159.775,71.65,88,75,1.14,broken clouds
127,San Jose,US,37.3394,-121.895,62.01,83,90,5.75,overcast clouds
128,Punta Arenas,CL,-53.15,-70.9167,32.11,93,40,5.75,scattered clouds
129,Mount Isa,AU,-20.7333,139.5,96.57,9,6,11.5,clear sky
130,Capitao Poco,BR,-1.7464,-47.0594,70.74,98,100,4.09,overcast clouds
131,Helena,US,46.5927,-112.0361,60.42,37,1,3.44,clear sky
132,Talnakh,RU,69.4865,88.3972,41.23,43,35,1.68,scattered clouds
133,Klaksvik,FO,62.2266,-6.589,54.52,91,100,30.38,overcast clouds
134,Lavrentiya,RU,65.5833,-171.0,29.89,84,55,5.48,broken clouds
135,Florianopolis,BR,-27.6146,-48.5012,65.43,89,75,4.61,broken clouds
136,Dikson,RU,73.5069,80.5464,36.14,83,100,20.92,overcast clouds
137,Carutapera,BR,-1.195,-46.02,76.53,89,86,7.85,overcast clouds
138,Castro,BR,-24.7911,-50.0119,54.93,97,17,3.87,few clouds
139,East London,ZA,-33.0153,27.9116,68.94,68,20,10.36,few clouds
140,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,40,13.8,scattered clouds
141,Hambantota,LK,6.1241,81.1185,84.54,84,40,19.57,scattered clouds
142,Payo,ID,-3.7508,103.6372,83.12,77,100,1.57,overcast clouds
143,Tecoanapa,MX,16.5167,-98.75,76.98,92,100,3.87,overcast clouds
144,Ketchikan,US,55.3422,-131.6461,48.18,82,100,1.97,overcast clouds
145,Luganville,VU,-15.5333,167.1667,76.69,86,69,10.22,broken clouds
146,Tibati,CM,6.4667,12.6333,69.98,86,100,5.32,overcast clouds
147,Montevideo,UY,-34.8335,-56.1674,49.71,100,0,0.0,fog
148,Parad,HU,47.9232,20.0297,66.13,58,0,4.03,clear sky
149,Nouadhibou,MR,20.931,-17.0347,71.58,83,0,13.8,clear sky
150,Iqaluit,CA,63.7506,-68.5145,35.33,69,90,15.01,overcast clouds
151,La Seyne-Sur-Mer,FR,43.0982,5.8847,74.53,85,71,3.0,broken clouds
152,Smirnykh,RU,49.75,142.8333,55.47,70,100,6.51,overcast clouds
153,Kahului,US,20.8947,-156.47,79.84,81,1,5.75,clear sky
154,Campbell River,CA,50.0163,-125.2446,56.73,100,100,2.51,overcast clouds
155,Faya,SA,18.3851,42.4509,79.32,17,3,10.56,clear sky
156,Baden-Baden,DE,48.75,8.25,66.43,96,0,0.0,clear sky
157,Seidu,SL,9.0167,-10.6,70.38,93,100,1.88,light rain
158,Sheridan,US,44.8333,-106.9173,69.31,28,1,0.0,clear sky
159,Praia,CV,14.9215,-23.5087,77.54,83,75,9.22,broken clouds
160,Pirapora,BR,-17.345,-44.9419,69.19,61,5,3.94,clear sky
