City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Sibolga,ID,81.88,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
312,South Venice,US,79.14,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
316,Singapore,SG,91.35,scattered clouds,1.2897,103.8501,The Fullerton Hotel Singapore
318,Auki,SB,79.92,few clouds,-8.7676,160.7034,Auki Motel
321,Metro,ID,80.31,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
327,Nioro,GM,77.9,overcast clouds,13.35,-15.75,
328,Calamar,CO,82.35,overcast clouds,10.2511,-74.9146,Hostal Katyalex
338,Varna,BG,75.15,clear sky,43.2167,27.9167,Hotel Gran Ivan
340,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
341,Mecca,SA,93.97,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
342,Taoudenni,ML,94.05,clear sky,22.6783,-3.9836,
347,Marsh Harbour,BS,81.09,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
350,Pagudpud,PH,87.76,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
353,Toktogul,KG,80.56,clear sky,41.8708,72.9402,KAGAN
361,Kavaratti,IN,81.64,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
363,Sweetwater,US,82.42,scattered clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
367,Niono,ML,84.47,overcast clouds,14.2526,-5.993,Hôtel Campement
369,Kavieng,PG,82.98,light rain,-2.5744,150.7967,Nusa Island Retreat
373,Pontianak,ID,91.38,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
375,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
380,Adrar,MR,87.1,broken clouds,20.5022,-10.0711,
391,Banda Aceh,ID,83.89,light rain,5.5577,95.3222,Sulthan Hotel International
401,Acapulco,MX,78.94,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
